,Date,Open
66,"Feb 19, 2018","10,552.60"
67,"Feb 18, 2018","11,123.40"
68,"Feb 17, 2018","10,207.50"
69,"Feb 16, 2018","10,135.70"
70,"Feb 15, 2018","9,488.32"
71,"Feb 14, 2018","8,599.92"
72,"Feb 13, 2018","8,926.72"
73,"Feb 12, 2018","8,141.43"
74,"Feb 11, 2018","8,616.13"
75,"Feb 10, 2018","8,720.08"
76,"Feb 09, 2018","8,271.84"
77,"Feb 08, 2018","7,637.86"
78,"Feb 07, 2018","7,755.49"
79,"Feb 06, 2018","7,051.75"
80,"Feb 05, 2018","8,270.54"
81,"Feb 04, 2018","9,175.70"
82,"Feb 03, 2018","8,852.12"
83,"Feb 02, 2018","9,142.28"
84,"Feb 01, 2018","10,237.30"
85,"Jan 31, 2018","10,108.20"
86,"Jan 30, 2018","11,306.80"
87,"Jan 29, 2018","11,755.50"
88,"Jan 28, 2018","11,475.30"
89,"Jan 27, 2018","11,174.90"
90,"Jan 26, 2018","11,256.00"
91,"Jan 25, 2018","11,421.70"
92,"Jan 24, 2018","10,903.40"
93,"Jan 23, 2018","10,944.50"
94,"Jan 22, 2018","11,633.10"
95,"Jan 21, 2018","12,889.20"
96,"Jan 20, 2018","11,656.20"
97,"Jan 19, 2018","11,429.80"
98,"Jan 18, 2018","11,198.80"
99,"Jan 17, 2018","11,431.10"
100,"Jan 16, 2018","13,836.10"
101,"Jan 15, 2018","13,767.30"
102,"Jan 14, 2018","14,370.80"
103,"Jan 13, 2018","13,952.40"
104,"Jan 12, 2018","13,453.90"
105,"Jan 11, 2018","14,968.20"
106,"Jan 10, 2018","14,588.50"
107,"Jan 09, 2018","15,123.70"
108,"Jan 08, 2018","16,476.20"
109,"Jan 07, 2018","17,527.30"
110,"Jan 06, 2018","17,462.10"
111,"Jan 05, 2018","15,477.20"
112,"Jan 04, 2018","15,270.70"
113,"Jan 03, 2018","14,978.20"
114,"Jan 02, 2018","13,625.00"
115,"Jan 01, 2018","14,112.20"
116,"Dec 31, 2017","12,897.70"
117,"Dec 30, 2017","14,681.90"
118,"Dec 29, 2017","14,695.80"
119,"Dec 28, 2017","15,864.10"
120,"Dec 27, 2017","16,163.50"
121,"Dec 26, 2017","14,036.60"
122,"Dec 25, 2017","13,995.90"
123,"Dec 24, 2017","14,608.20"
124,"Dec 23, 2017","13,948.70"
125,"Dec 22, 2017","15,898.00"
126,"Dec 21, 2017","16,642.40"
127,"Dec 20, 2017","17,760.30"
128,"Dec 19, 2017","19,118.30"
129,"Dec 18, 2017","19,106.40"
130,"Dec 17, 2017","19,475.80"
131,"Dec 16, 2017","17,760.30"
132,"Dec 15, 2017","16,601.30"
133,"Dec 14, 2017","16,384.60"
134,"Dec 13, 2017","17,500.00"
135,"Dec 12, 2017","16,919.80"
136,"Dec 11, 2017","15,427.40"
137,"Dec 10, 2017","15,168.40"
138,"Dec 09, 2017","16,523.30"
139,"Dec 08, 2017","17,802.90"
140,"Dec 07, 2017","14,266.10"
141,"Dec 06, 2017","11,923.40"
142,"Dec 05, 2017","11,685.70"
143,"Dec 04, 2017","11,315.40"
144,"Dec 03, 2017","11,082.70"
145,"Dec 02, 2017","10,978.30"
146,"Dec 01, 2017","10,198.60"
147,"Nov 30, 2017","9,906.79"
148,"Nov 29, 2017","10,077.40"
149,"Nov 28, 2017","9,823.43"
150,"Nov 27, 2017","9,352.72"
151,"Nov 26, 2017","8,789.04"
152,"Nov 25, 2017","8,241.71"
153,"Nov 24, 2017","8,074.02"
154,"Nov 23, 2017","8,232.38"
155,"Nov 22, 2017","8,077.95"
156,"Nov 21, 2017","8,205.74"
157,"Nov 20, 2017","8,039.07"
158,"Nov 19, 2017","7,766.03"
159,"Nov 18, 2017","7,697.21"
160,"Nov 17, 2017","7,853.57"
161,"Nov 16, 2017","7,323.24"
162,"Nov 15, 2017","6,634.76"
163,"Nov 14, 2017","6,561.48"
164,"Nov 13, 2017","5,938.25"
165,"Nov 12, 2017","6,295.45"
166,"Nov 11, 2017","6,618.61"
167,"Nov 10, 2017","7,173.73"
168,"Nov 09, 2017","7,446.83"
169,"Nov 08, 2017","7,141.38"
170,"Nov 07, 2017","7,023.10"
171,"Nov 06, 2017","7,403.22"
172,"Nov 05, 2017","7,404.52"
173,"Nov 04, 2017","7,164.48"
174,"Nov 03, 2017","7,087.53"
175,"Nov 02, 2017","6,777.77"
176,"Nov 01, 2017","6,440.97"
177,"Oct 31, 2017","6,132.02"
178,"Oct 30, 2017","6,114.85"
179,"Oct 29, 2017","5,754.44"
180,"Oct 28, 2017","5,787.82"
181,"Oct 27, 2017","5,899.74"
182,"Oct 26, 2017","5,747.95"
183,"Oct 25, 2017","5,524.60"
184,"Oct 24, 2017","5,935.52"
185,"Oct 23, 2017","6,006.00"
186,"Oct 22, 2017","6,036.66"
187,"Oct 21, 2017","5,996.79"
188,"Oct 20, 2017","5,708.11"
189,"Oct 19, 2017","5,583.74"
190,"Oct 18, 2017","5,603.82"
191,"Oct 17, 2017","5,741.58"
192,"Oct 16, 2017","5,687.57"
193,"Oct 15, 2017","5,835.96"
194,"Oct 14, 2017","5,643.53"
195,"Oct 13, 2017","5,464.16"
196,"Oct 12, 2017","4,829.58"
197,"Oct 11, 2017","4,789.25"
198,"Oct 10, 2017","4,776.21"
199,"Oct 09, 2017","4,614.52"
200,"Oct 08, 2017","4,429.67"
201,"Oct 07, 2017","4,369.35"
202,"Oct 06, 2017","4,324.46"
203,"Oct 05, 2017","4,229.88"
204,"Oct 04, 2017","4,319.37"
205,"Oct 03, 2017","4,408.46"
206,"Oct 02, 2017","4,395.81"
207,"Oct 01, 2017","4,341.05"
208,"Sep 30, 2017","4,166.11"
209,"Sep 29, 2017","4,171.62"
210,"Sep 28, 2017","4,197.13"
211,"Sep 27, 2017","3,892.94"
212,"Sep 26, 2017","3,928.41"
213,"Sep 25, 2017","3,681.58"
214,"Sep 24, 2017","3,796.15"
215,"Sep 23, 2017","3,629.92"
216,"Sep 22, 2017","3,628.02"
217,"Sep 21, 2017","3,901.47"
218,"Sep 20, 2017","3,916.36"
219,"Sep 19, 2017","4,073.79"
220,"Sep 18, 2017","3,591.09"
221,"Sep 17, 2017","3,606.28"
222,"Sep 16, 2017","3,637.75"
223,"Sep 15, 2017","3,166.30"
224,"Sep 14, 2017","3,875.37"
225,"Sep 13, 2017","4,131.98"
226,"Sep 12, 2017","4,168.88"
227,"Sep 11, 2017","4,122.47"
228,"Sep 10, 2017","4,229.34"
229,"Sep 09, 2017","4,229.81"
230,"Sep 08, 2017","4,605.16"
231,"Sep 07, 2017","4,589.14"
232,"Sep 06, 2017","4,376.59"
233,"Sep 05, 2017","4,228.29"
234,"Sep 04, 2017","4,591.63"
235,"Sep 03, 2017","4,585.27"
236,"Sep 02, 2017","4,901.42"
237,"Sep 01, 2017","4,701.76"
238,"Aug 31, 2017","4,555.59"
239,"Aug 30, 2017","4,570.36"
240,"Aug 29, 2017","4,389.21"
241,"Aug 28, 2017","4,384.45"
242,"Aug 27, 2017","4,345.10"
243,"Aug 26, 2017","4,372.06"
244,"Aug 25, 2017","4,332.82"
245,"Aug 24, 2017","4,137.60"
246,"Aug 23, 2017","4,089.01"
247,"Aug 22, 2017","3,998.35"
248,"Aug 21, 2017","4,090.48"
249,"Aug 20, 2017","4,189.31"
250,"Aug 19, 2017","4,137.75"
251,"Aug 18, 2017","4,324.34"
252,"Aug 17, 2017","4,384.44"
253,"Aug 16, 2017","4,200.34"
254,"Aug 15, 2017","4,326.99"
255,"Aug 14, 2017","4,066.10"
256,"Aug 13, 2017","3,880.04"
257,"Aug 12, 2017","3,650.63"
258,"Aug 11, 2017","3,373.82"
259,"Aug 10, 2017","3,341.84"
260,"Aug 09, 2017","3,420.40"
261,"Aug 08, 2017","3,370.22"
262,"Aug 07, 2017","3,212.78"
263,"Aug 06, 2017","3,257.61"
264,"Aug 05, 2017","2,897.63"
265,"Aug 04, 2017","2,806.93"
266,"Aug 03, 2017","2,709.56"
267,"Aug 02, 2017","2,727.13"
268,"Aug 01, 2017","2,871.30"
269,"Jul 31, 2017","2,763.24"
270,"Jul 30, 2017","2,724.39"
271,"Jul 29, 2017","2,807.02"
272,"Jul 28, 2017","2,679.73"
273,"Jul 27, 2017","2,538.71"
274,"Jul 26, 2017","2,577.77"
275,"Jul 25, 2017","2,757.50"
276,"Jul 24, 2017","2,732.70"
277,"Jul 23, 2017","2,808.10"
278,"Jul 22, 2017","2,668.63"
279,"Jul 21, 2017","2,838.41"
280,"Jul 20, 2017","2,269.89"
281,"Jul 19, 2017","2,323.08"
282,"Jul 18, 2017","2,233.52"
283,"Jul 17, 2017","1,932.62"
284,"Jul 16, 2017","1,991.98"
285,"Jul 15, 2017","2,230.12"
286,"Jul 14, 2017","2,360.59"
287,"Jul 13, 2017","2,402.70"
288,"Jul 12, 2017","2,332.77"
289,"Jul 11, 2017","2,385.89"
290,"Jul 10, 2017","2,525.25"
291,"Jul 09, 2017","2,572.61"
292,"Jul 08, 2017","2,520.27"
293,"Jul 07, 2017","2,608.59"
294,"Jul 06, 2017","2,608.10"
295,"Jul 05, 2017","2,602.87"
296,"Jul 04, 2017","2,561.00"
297,"Jul 03, 2017","2,498.56"
298,"Jul 02, 2017","2,436.40"
299,"Jul 01, 2017","2,492.60"
300,"Jun 30, 2017","2,539.24"
301,"Jun 29, 2017","2,567.56"
302,"Jun 28, 2017","2,553.03"
303,"Jun 27, 2017","2,478.45"
304,"Jun 26, 2017","2,590.57"
305,"Jun 25, 2017","2,607.25"
